country,Happiness_Score,Life_Satis,Pos_Emotion,Neg_Emotion,GDP_per_capita,Healthy_Life_Exp,Life_Freedom,Social_Support,Govt_Conf,Generosity,Percep_Corruption
Slovakia,6.1975998878479,6.23511075973511,0.7541052103042599,0.25319004058837896,1.24622917175293,0.88075065612793,0.545906603336334,1.2133606970310236,0.327658623456955,-0.02938606962561649,0.46199256135150774
Slovenia,6.117700099945071,6.2494192123413095,0.643971621990204,0.27548485994339,1.25789213180542,0.953217923641205,0.752969413995743,1.2320614755153672,0.239274635910988,0.010941848158836517,0.44823912717401987
South Africa,4.7221999168396,4.88392210006714,0.812166571617126,0.28270849585533103,0.9596804976463321,0.469167590141296,0.571049064397812,1.0960100889205935,0.524685800075531,0.0354776605963706,0.44796011224389076
South Korea,5.894700050354,5.84023141860962,0.6612085700035101,0.21714572608470897,1.30099880695343,1.0355752706527699,0.37973093986511247,1.008456856012343,0.389084011316299,0.04036563634872454,0.4264295138418674
Spain,6.35410022735596,6.51337099075317,0.6591880321502691,0.35719084739685103,1.2857856750488301,1.0618714094161998,0.542171984910965,1.1973739266395564,0.285195618867874,0.0367725975811479,0.42753485962748544
Sri Lanka,4.365900039672851,4.40022325515747,0.831292986869812,0.301279366016388,0.949410378932953,0.8314140439033509,0.661507412791252,1.0464649200439473,0.576130390167236,0.16534867137670511,0.45227087661623977
Swaziland,4.21159982681274,4.2115650177002,0.824354708194733,0.252339154481888,0.8107981681823729,0.0,0.5116589814424515,0.9642542898654936,0.6895487308502201,-0.052980288863182005,0.4135119393467905
Sweden,7.34329986572266,7.37479209899902,0.822675704956055,0.160755425691605,1.3865772485733,1.00920295715332,0.7580725252628325,1.208993136882781,0.494396239519119,0.1682987809181211,0.3179993778467175
Switzerland,7.48019981384277,7.508586883544919,0.7922259569168091,0.19152015447616602,1.45224463939667,1.05198907852173,0.7489643394947054,1.2282848060131055,0.8499794602394101,0.17991646751761417,0.321937814354897
Taiwan,6.44619989395142,6.46700477600098,0.848398566246033,0.0926956459879875,1.36808657646179,0.913703262805939,0.5457930862903595,1.1634372472763086,0.31172293424606295,0.241696521639824,0.41638331860303895
Tanzania,3.23070001602173,3.44502329826355,0.762089312076569,0.221005499362946,0.475853741168976,0.49877250194549605,0.61214642226696,0.7800927460193634,0.914648473262787,0.209025137126446,0.3793504163622855
Thailand,6.00799989700317,6.01156187057495,0.843489408493042,0.198190212249756,1.0497012138366701,0.828100621700287,0.7309972643852234,1.140938490629197,0.605364441871643,0.3053108900785445,0.467294719070196
Togo,4.08489990234375,4.02289485931396,0.608448624610901,0.446454375982285,0.27526131272315996,0.40978205204009993,0.4524664878845215,0.5843529403209691,0.323221206665039,0.0847810956183822,0.4469215497374533
Tunisia,4.46059989929199,4.741132259368901,0.59172660112381,0.36501428484916704,0.9209895133972171,0.8148850798606869,0.4083322957158089,0.866439014673233,0.34949046373367304,-0.0722290202975274,0.44749455899000185
Turkey,5.37260007858276,5.1856894493103,0.434654295444489,0.35077309608459495,1.18348515033722,0.808362007141113,0.36174503713846257,1.10372620820999,0.5136770606040949,-0.04910221323370914,0.4554649107158185
Uganda,4.18940019607544,4.32171487808228,0.6851685047149662,0.390319228172302,0.3323871195316311,0.44281217455864,0.5421589612960815,0.9046245515346536,0.503853440284729,0.1701934933662414,0.45797982253134256
Ukraine,4.3322000503539995,4.66190910339355,0.608771085739136,0.22185148298740398,0.8203274607658391,0.73914635181427,0.420522943139076,1.145704269409181,0.0797100588679314,0.06590763106942164,0.47635806724429125
United Kingdom,7.05369997024536,7.2334451675415,0.7831718325614929,0.228275611996651,1.33295249938965,0.9960178732872009,0.6435152292251586,1.2330344617366804,0.42085987329483004,0.285122208297253,0.340935587882996
United States,6.89230012893677,6.882684707641599,0.8153825998306271,0.292226254940033,1.43278872966766,0.874216496944427,0.6393813490867615,1.1805962324142454,0.313816100358963,0.19380799680948252,0.4188314750790595
Uruguay,6.29330015182495,6.3717145919799805,0.876920342445374,0.27494558691978493,1.1243681907653797,0.8906638026237491,0.6993566155433656,1.1909992694854754,0.361706048250198,0.009028661996125995,0.41668630391359346
Uzbekistan,6.174099922180179,6.20546007156372,0.825421571731567,0.208660304546356,0.7451186180114749,0.7557034492492679,0.8005718290805814,1.2249604165554036,0.9693563580513,0.31690269708633445,0.3801087960600855
Venezuela,4.70660018920898,5.00566339492798,0.759221494197845,0.37365761399269104,0.959502220153809,0.80505359172821,0.38222406804561604,1.1569779515266425,0.260699689388275,-0.05597244575619704,0.437422052025795
Yemen,3.37980008125305,3.0575139522552504,0.461113780736923,0.31486994028091403,0.28691050410270696,0.462539970874786,0.3478979170322415,0.976045191287993,0.308151185512543,0.10846546292305,0.4349655881524086
Zambia,4.10659980773926,4.04148817062378,0.702697575092316,0.350962847471237,0.577597975730896,0.426377564668655,0.610577180981636,0.8879005908966051,0.606715261936188,0.1418792381882667,0.4486434534192085
Zimbabwe,3.66319990158081,3.61647987365723,0.710118651390076,0.21172584593296104,0.365784704685211,0.43306922912597706,0.5617572516202926,0.9446923732757588,0.5505077838897711,0.05633866414427774,0.46674995124340074
